Date,Open
01-01-2020,1790.2
02-01-2020,1791
03-01-2020,1779.8
06-01-2020,1737.95
07-01-2020,1711
08-01-2020,1696
09-01-2020,1763
10-01-2020,1772
13-01-2020,1799
14-01-2020,1805
15-01-2020,1817.5
16-01-2020,1835.95
17-01-2020,1835.6
20-01-2020,1838
21-01-2020,1839.95
22-01-2020,1815
23-01-2020,1779
24-01-2020,1783.65
27-01-2020,1787
28-01-2020,1794
29-01-2020,1787
30-01-2020,1800
31-01-2020,1810
01-02-2020,1802
03-02-2020,1768.8
04-02-2020,1870
05-02-2020,1889
06-02-2020,1878
07-02-2020,1856.8
10-02-2020,1867
11-02-2020,1880
12-02-2020,1880
13-02-2020,1889
14-02-2020,1876.5
17-02-2020,1879.9
18-02-2020,1879.9
19-02-2020,1870.1
20-02-2020,1883
24-02-2020,1845.25
25-02-2020,1838.4
26-02-2020,1826
27-02-2020,1829.85
28-02-2020,1820
02-03-2020,1815.1
03-03-2020,1780.05
04-03-2020,1804.05
05-03-2020,1854
06-03-2020,1840
09-03-2020,1888
11-03-2020,1874.95
12-03-2020,1864.95
13-03-2020,1785
16-03-2020,1777
17-03-2020,1699
18-03-2020,1732
19-03-2020,1540
20-03-2020,1610
23-03-2020,1578.6
24-03-2020,1556.55
25-03-2020,1446.55
26-03-2020,1605
27-03-2020,1664.8
30-03-2020,1591.15
31-03-2020,1625
01-04-2020,1650.05
03-04-2020,1615.1
07-04-2020,1540
08-04-2020,1623.8
09-04-2020,1640
13-04-2020,1646
15-04-2020,1703.65
16-04-2020,1691
17-04-2020,1763
20-04-2020,1758.25
21-04-2020,1710
22-04-2020,1717.1
23-04-2020,1807
24-04-2020,1815.05
27-04-2020,1840
28-04-2020,1847.2
29-04-2020,1846.9
30-04-2020,1795
04-05-2020,1718
05-05-2020,1681
06-05-2020,1615
07-05-2020,1609.95
08-05-2020,1611.8
11-05-2020,1583
12-05-2020,1539
13-05-2020,1579.8
14-05-2020,1553.3
15-05-2020,1529
18-05-2020,1558
19-05-2020,1510
20-05-2020,1503.95
21-05-2020,1503
22-05-2020,1568.8
26-05-2020,1625
27-05-2020,1631
28-05-2020,1622
29-05-2020,1639
01-06-2020,1706.5
02-06-2020,1693.25
03-06-2020,1724
04-06-2020,1716.45
05-06-2020,1650
08-06-2020,1657
09-06-2020,1640
10-06-2020,1648
11-06-2020,1635.95
12-06-2020,1580
15-06-2020,1629
16-06-2020,1639
17-06-2020,1607.55
18-06-2020,1595.4
19-06-2020,1597.8
22-06-2020,1633
23-06-2020,1659.85
24-06-2020,1684
25-06-2020,1740
26-06-2020,1710
29-06-2020,1687
30-06-2020,1708.9
01-07-2020,1698
02-07-2020,1700
03-07-2020,1695.4
06-07-2020,1708.95
07-07-2020,1708.95
08-07-2020,1750
09-07-2020,1694
10-07-2020,1707.95
13-07-2020,1708
14-07-2020,1705.65
15-07-2020,1700
16-07-2020,1679.8
17-07-2020,1695
20-07-2020,1727
21-07-2020,1761
22-07-2020,1724.25
23-07-2020,1690
24-07-2020,1724
27-07-2020,1717.2
28-07-2020,1779
29-07-2020,1770
30-07-2020,1752
31-07-2020,1754
03-08-2020,1729
04-08-2020,1719
05-08-2020,1718
06-08-2020,1732.05
07-08-2020,1727.55
10-08-2020,1810
11-08-2020,1800
12-08-2020,1789.95
13-08-2020,1806.4
14-08-2020,1818.7
17-08-2020,1820
18-08-2020,1831
19-08-2020,1890
20-08-2020,1867.95
21-08-2020,1887.9
24-08-2020,1958
25-08-2020,1964.25
26-08-2020,2000.95
27-08-2020,1980.9
28-08-2020,1994
31-08-2020,1977
01-09-2020,1925
02-09-2020,1977.95
03-09-2020,1950.2
04-09-2020,1958
07-09-2020,1965
08-09-2020,1987.5
09-09-2020,1960.35
10-09-2020,1985.05
11-09-2020,2063
14-09-2020,2050
15-09-2020,2045
16-09-2020,2027
17-09-2020,2000
18-09-2020,2026.3
21-09-2020,2036.4
22-09-2020,1990.2
23-09-2020,1940
24-09-2020,1941.55
25-09-2020,1925.25
28-09-2020,1938
29-09-2020,1960
30-09-2020,1966.1
01-10-2020,2007
05-10-2020,2040.45
06-10-2020,2050
07-10-2020,2080
08-10-2020,2104.5
09-10-2020,2094
12-10-2020,2067.9
13-10-2020,2077
14-10-2020,2070
15-10-2020,2070
16-10-2020,2089.95
19-10-2020,2079.95
20-10-2020,2077.9
21-10-2020,2130
22-10-2020,2114.2
23-10-2020,2113.5
26-10-2020,2116.35
27-10-2020,2085
28-10-2020,2199.8
29-10-2020,2162
30-10-2020,2210.1
02-11-2020,2198
03-11-2020,2193.9
04-11-2020,2160
05-11-2020,2190
06-11-2020,2233.95
09-11-2020,2249
10-11-2020,2225.2
11-11-2020,2205
12-11-2020,2172
13-11-2020,2180.5
14-11-2020,2192
17-11-2020,2206.4
18-11-2020,2185
19-11-2020,2175
20-11-2020,2163.35
23-11-2020,2160.55
24-11-2020,2192.9
25-11-2020,2197.25
26-11-2020,2160
27-11-2020,2170
01-12-2020,2275
02-12-2020,2241
03-12-2020,2340
04-12-2020,2400
07-12-2020,2440
08-12-2020,2470.55
09-12-2020,2450
10-12-2020,2515.95
11-12-2020,2516
14-12-2020,2530
15-12-2020,2535
16-12-2020,2540
17-12-2020,2569
18-12-2020,2577
21-12-2020,2595.45
22-12-2020,2541
23-12-2020,2604
24-12-2020,2658
28-12-2020,2654.25
29-12-2020,2685
30-12-2020,2694
31-12-2020,2734.4
01-01-2021,2759
04-01-2021,2781.1
05-01-2021,2753.7
06-01-2021,2801.3
07-01-2021,2801
08-01-2021,2818
11-01-2021,2845
12-01-2021,2849.6
13-01-2021,2760
14-01-2021,2713
15-01-2021,2660.9
18-01-2021,2592
19-01-2021,2615
20-01-2021,2654
21-01-2021,2726.95
22-01-2021,2750
25-01-2021,2612.85
27-01-2021,2525
28-01-2021,2420
29-01-2021,2456
01-02-2021,2426.6
02-02-2021,2460
03-02-2021,2503.85
04-02-2021,2456
05-02-2021,2420
08-02-2021,2394
09-02-2021,2432.5
10-02-2021,2529
11-02-2021,2524.95
12-02-2021,2518
15-02-2021,2495
16-02-2021,2472
17-02-2021,2436
18-02-2021,2424
19-02-2021,2470.9
22-02-2021,2428.75
23-02-2021,2375
24-02-2021,2373
25-02-2021,2375
26-02-2021,2338.05
01-03-2021,2300
02-03-2021,2386
03-03-2021,2406
04-03-2021,2380
05-03-2021,2399
08-03-2021,2383
09-03-2021,2400
10-03-2021,2446
12-03-2021,2442.8
15-03-2021,2402.55
16-03-2021,2379.2
17-03-2021,2460
18-03-2021,2468.85
19-03-2021,2393
22-03-2021,2390
23-03-2021,2430
24-03-2021,2410.3
25-03-2021,2450.95
26-03-2021,2425
30-03-2021,2539.1
31-03-2021,2578.05
01-04-2021,2532
05-04-2021,2558
06-04-2021,2526
07-04-2021,2605
08-04-2021,2630
